index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W]
0, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.12 W
1, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 12.17 W
2, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 7.49 W
3, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.99 W
1787996346,0, 28620, 52, 286.83;1, 29472, 76, 310.65;2, 29484, 57, 250.89;3, 29472, 71, 308.55
1787996351,0, 31368, 68, 283.86;1, 30862, 64, 291.74;2, 30874, 71, 278.62;3, 30862, 70, 298.10
1787996356,0, 17226, 100, 94.40;1, 16720, 100, 113.29;2, 16718, 0, 86.22;3, 16720, 0, 81.07
1787996361,0, 31370, 66, 270.01;1, 30864, 64, 303.15;2, 30874, 66, 272.15;3, 30864, 66, 288.06
1787996366,0, 31370, 70, 291.94;1, 30864, 65, 298.66;2, 30874, 71, 281.70;3, 30864, 70, 302.39
1787996371,0, 17544, 58, 146.30;1, 17038, 59, 221.49;2, 17034, 100, 163.01;3, 17038, 67, 199.82
1787996377,0, 31368, 68, 287.12;1, 30862, 65, 293.74;2, 30874, 68, 308.40;3, 30862, 68, 333.28
1787996382,0, 17242, 68, 252.62;1, 16736, 61, 294.77;2, 16734, 26, 169.13;3, 16736, 100, 225.13
1787996387,0, 31370, 67, 281.65;1, 30864, 30, 324.76;2, 30872, 99, 289.97;3, 30864, 80, 305.39
1787996392,0, 31370, 69, 293.28;1, 30864, 66, 330.08;2, 30872, 70, 281.23;3, 30864, 70, 336.68
1787996397,0, 17206, 100, 107.43;1, 16700, 100, 118.26;2, 16698, 100, 102.39;3, 16700, 0, 78.49
1787996402,0, 17206, 100, 106.91;1, 16700, 100, 117.46;2, 16698, 100, 102.02;3, 16700, 0, 72.59
1787996407,0, 17206, 100, 106.01;1, 16700, 100, 116.73;2, 16698, 100, 101.94;3, 16700, 0, 71.95
1787996412,0, 17206, 100, 105.21;1, 16700, 100, 116.23;2, 16698, 100, 101.78;3, 16700, 0, 64.50
1787996417,0, 17206, 100, 104.97;1, 16700, 100, 116.35;2, 16698, 100, 101.58;3, 16700, 0, 15.38
1787996422,0, 17206, 100, 104.81;1, 16700, 100, 116.08;2, 16698, 100, 101.29;3, 16700, 0, 14.95
1787996427,0, 17206, 100, 104.14;1, 16700, 100, 115.76;2, 16698, 100, 101.16;3, 16700, 0, 14.22
1787996432,0, 31368, 67, 281.70;1, 30862, 63, 286.31;2, 30874, 68, 272.58;3, 30864, 68, 293.27
1787996437,0, 31368, 68, 289.43;1, 30862, 65, 299.23;2, 30874, 69, 279.21;3, 30864, 71, 301.23
1787996442,0, 29978, 74, 282.60;1, 30862, 46, 273.98;2, 30438, 71, 271.57;3, 30554, 66, 284.87
